,Leistungsbedarf Zelt,Leistungsbedarf Wohnbereich,Gesamtlast,Dach Ost SG20,Dach West SG20,PV Erzeugung,power_output_wea,Wind Erzeugung,Erzeugung EE,Batterie Ladung,Backup Generator,Batterie Energie,Netto Last
2021-06-04 00:00:00,0.2,0.8,0.8,0.0,0.0,0.0,3.4102416021847968,3.4102416021847968,3.4102416021847968,2.6102416021847965,0.0,12.479729522075557,-2.6102416021847965
2021-06-04 01:00:00,0.2,0.8,0.8,0.0,0.0,0.0,1.8731907146108322,1.8731907146108322,1.8731907146108322,1.0731907146108322,0.0,13.499260700955848,-1.0731907146108322
2021-06-04 02:00:00,0.2,0.8,0.8,0.0,0.0,0.0,1.161090942193901,1.161090942193901,1.161090942193901,0.36109094219390103,0.0,13.842297096040054,-0.36109094219390103
2021-06-04 03:00:00,0.2,0.8,0.8,0.0,0.0,0.0,1.161090942193901,1.161090942193901,1.161090942193901,0.36109094219390103,0.0,14.185333491124261,-0.36109094219390103
2021-06-04 04:00:00,0.2,0.8,0.8,0.047858959018172574,0.047858959018172574,0.09571791803634515,1.161090942193901,1.161090942193901,1.2568088602302463,0.45680886023024625,0.0,14.619301908342996,-0.45680886023024625
2021-06-04 05:00:00,0.2,0.8,0.8,0.7799170661556551,0.09751344632713849,0.8774305124827937,0.3252660901228949,0.3252660901228949,1.2026966026056887,0.4026966026056886,0.0,15.0018636808184,-0.4026966026056886
2021-06-04 06:00:00,0.5,2.0,2.0,1.2170867958747864,0.15041857466794833,1.3675053705427347,0.13982703686845702,0.13982703686845702,1.5073324074111918,-0.4926675925888082,0.0,14.533829467859032,0.4926675925888082
2021-06-04 07:00:00,0.5,2.0,2.0,1.5552482103721537,0.4358976565738417,1.9911458669459954,1.161090942193901,1.161090942193901,3.1522368091398967,1.1522368091398967,0.0,15.628454436541935,-1.1522368091398967
2021-06-04 08:00:00,0.5,2.0,2.0,1.8184600872802754,0.8259096968644359,2.644369784144711,0.885332362312244,0.885332362312244,3.5297021464569553,1.5297021464569553,0.0,17.081671475676043,-1.5297021464569553
2021-06-04 09:00:00,0.3,1.2,1.2,1.973621972404261,1.2179074359098234,3.1915294083140844,1.161090942193901,1.161090942193901,4.352620350507985,0.9666616045515342,0.0,18.0,-3.152620350507985
2021-06-04 10:00:00,0.3,1.2,1.2,1.9492430934791862,1.5175223333416166,3.466765426820803,1.4888782885753298,1.4888782885753298,4.955643715396133,0.0,0.0,18.0,-3.7556437153961326
2021-06-04 11:00:00,0.3,1.2,1.2,1.7509442313278976,1.6385383285102635,3.389482559838161,2.829376058261266,2.829376058261266,6.218858618099427,0.0,0.0,18.0,-5.018858618099427
2021-06-04 12:00:00,0.3,1.2,1.2,1.4299023987514468,1.5180789002716237,2.9479812990230707,3.4102416021847968,3.4102416021847968,6.358222901207867,0.0,0.0,18.0,-5.158222901207867
2021-06-04 13:00:00,0.3,1.2,1.2,1.2380417729395514,1.4576832141049711,2.695724987044523,4.690080655439235,4.690080655439235,7.385805642483758,0.0,0.0,18.0,-6.185805642483758
2021-06-04 14:00:00,0.3,1.2,1.2,1.0391614464342005,1.43806935757495,2.4772308040091504,4.690080655439235,4.690080655439235,7.167311459448386,0.0,0.0,18.0,-5.967311459448386
2021-06-04 15:00:00,0.3,1.2,1.2,0.7520569901066614,1.5653000128250907,2.317357002931752,6.3888,6.3888,8.706157002931752,0.0,0.0,18.0,-7.506157002931752
2021-06-04 16:00:00,0.3,1.2,1.2,0.4718621825423346,1.000099685684247,1.4719618682265816,4.690080655439235,4.690080655439235,6.162042523665817,0.0,0.0,18.0,-4.962042523665817
2021-06-04 17:00:00,0.3,1.2,1.2,0.19056445575223752,0.8463702994109453,1.036934755163183,1.8731907146108322,1.8731907146108322,2.910125469774015,0.0,0.0,18.0,-1.7101254697740151
2021-06-04 18:00:00,0.6,2.4,2.4,0.10449800676097704,0.14509856416238498,0.24959657092336202,0.13982703686845702,0.13982703686845702,0.38942360779181906,-2.010576392208181,0.0,16.089952427402228,2.010576392208181
2021-06-04 19:00:00,0.6,2.4,2.4,0.0,0.0,0.0,0.6571062357760581,0.6571062357760581,0.6571062357760581,-1.742893764223942,0.0,14.434203351389483,1.742893764223942
2021-06-04 20:00:00,0.6,2.4,2.4,0.0,0.0,0.0,0.6571062357760581,0.6571062357760581,0.6571062357760581,-1.742893764223942,0.0,12.778454275376738,1.742893764223942
2021-06-04 21:00:00,0.6,2.4,2.4,0.0,0.0,0.0,0.885332362312244,0.885332362312244,0.885332362312244,-1.514667637687756,0.0,11.33952001957337,1.514667637687756
2021-06-04 22:00:00,0.3,1.2,1.2,0.0,0.0,0.0,3.4102416021847968,3.4102416021847968,3.4102416021847968,2.210241602184797,0.0,13.439249541648927,-2.210241602184797
2021-06-04 23:00:00,0.3,1.2,1.2,0.0,0.0,0.0,6.3888,6.3888,6.3888,4.800789956159025,0.0,18.0,-5.1888
